Id,Category
0,3
1,10
2,3
3,9
4,7
5,3
6,3
7,10
8,3
9,2
10,3
11,0
12,5
13,10
14,8
15,4
16,9
17,2
18,7
19,9
20,3
21,5
22,3
23,3
24,1
25,3
26,10
27,4
28,2
29,4
30,5
31,9
32,6
33,4
34,2
35,2
36,8
37,10
38,3
39,3
40,6
41,2
42,2
43,3
44,4
45,1
46,10
47,3
48,3
49,9
50,10
51,1
52,3
53,3
54,4
55,8
56,6
57,1
58,6
59,9
60,2
61,8
62,6
63,3
64,10
65,1
66,3
67,9
68,4
69,10
70,2
71,6
72,6
73,9
74,2
75,6
76,3
77,3
78,2
79,9
80,0
81,5
82,4
83,8
84,7
85,3
86,0
87,4
88,4
89,6
90,2
91,3
92,3
93,6
94,6
95,6
96,3
97,2
98,3
99,10
100,2
101,2
102,8
103,8
104,4
105,6
106,6
107,5
108,9
109,10
110,3
111,8
112,4
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,3
121,2
122,3
123,6
124,3
125,8
126,5
127,8
128,10
129,9
130,8
131,2
132,10
133,1
134,4
135,3
136,3
137,10
138,3
139,0
140,8
141,4
142,5
143,2
144,1
145,4
146,9
147,5
148,2
149,5
150,2
151,3
152,7
153,0
154,10
155,2
156,1
157,7
158,8
159,2
160,5
161,1
162,5
163,2
164,8
165,4
166,8
167,8
168,3
169,3
170,8
171,1
172,4
173,4
174,3
175,2
176,2
177,10
178,8
179,7
180,3
181,8
182,9
183,6
184,10
185,9
186,10
187,1
188,0
189,4
190,1
191,3
192,3
193,4
194,0
195,4
196,8
197,3
198,3
199,1
200,9
201,8
202,8
203,7
204,4
205,6
206,7
207,0
208,10
209,2
210,2
211,2
212,2
213,2
214,1
215,2
216,10
217,3
218,2
219,3
220,4
221,2
222,2
223,6
224,5
225,5
226,3
227,4
228,6
229,3
230,3
231,2
232,7
233,8
234,3
235,2
236,2
237,10
238,3
239,7
240,2
241,3
242,1
243,4
244,6
245,5
246,6
247,9
248,10
249,9
250,9
251,3
252,3
253,9
254,5
255,0
256,2
257,9
258,3
259,3
260,8
261,8
262,10
263,10
264,4
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,10
273,4
274,2
275,3
276,9
277,2
278,2
279,0
280,9
281,9
282,2
283,3
284,10
285,7
286,2
287,4
288,3
289,10
290,9
291,4
292,9
293,10
294,3
295,6
296,7
297,0
298,10
299,4
300,2
301,9
302,4
303,1
304,7
305,10
306,8
307,3
308,9
309,3
310,1
311,7
312,7
313,8
314,8
315,3
316,7
317,7
318,3
319,1
320,3
321,2
322,8
323,7
324,4
325,3
326,5
327,6
328,10
329,4
330,1
331,0
332,6
333,9
334,1
335,6
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,1
344,3
345,7
346,3
347,6
348,4
349,9
350,4
351,3
352,6
353,1
354,2
355,2
356,3
357,10
358,10
359,4
360,3
361,5
362,10
363,6
364,2
365,5
366,3
367,4
368,10
369,6
370,9
371,4
372,3
373,10
374,3
375,3
376,9
377,9
378,7
379,5
380,10
381,6
382,2
383,9
384,3
385,0
386,9
387,10
388,10
389,6
390,0
391,7
392,10
393,10
394,7
395,3
396,8
397,8
398,2
399,2
400,9
401,2
402,9
403,4
404,6
405,1
406,10
407,3
408,0
409,4
410,9
411,6
412,3
413,7
414,3
415,7
416,8
417,4
418,1
419,8
420,5
421,2
422,4
423,10
424,3
425,8
426,3
427,4
428,9
429,2
430,2
431,2
432,7
433,8
434,3
435,2
436,10
437,10
438,1
439,1
440,10
441,4
442,9
443,3
444,2
445,3
446,2
447,2
448,3
449,7
450,4
451,9
452,3
453,9
454,6
455,6
456,5
457,4
458,8
459,10
460,10
461,9
462,10
463,10
464,1
465,1
466,7
467,7
468,3
469,3
470,5
471,3
472,8
473,8
474,3
475,3
476,6
477,1
478,2
479,6
480,0
481,0
482,3
483,1
484,10
485,4
486,9
487,9
488,4
489,9
490,3
491,10
492,7
493,2
494,5
495,2
496,8
497,10
498,3
499,10
500,3
501,1
502,2
503,1
504,7
505,6
506,3
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,3
515,2
516,3
517,9
518,6
519,3
520,2
521,3
522,7
523,1
524,0
525,2
526,3
527,7
528,6
529,3
530,4
531,1
532,4
533,3
534,7
535,3
536,3
537,4
538,7
539,10
540,3
541,2
542,7
543,3
544,9
545,1
546,3
547,5
548,3
549,10
550,2
551,2
552,7
553,6
554,3
555,6
556,3
557,5
558,6
559,2
560,3
561,1
562,2
563,8
564,3
565,4
566,5
567,1
568,10
569,3
570,5
571,3
572,2
573,3
574,2
575,2
576,8
577,7
578,1
579,3
580,8
581,4
582,5
583,9
584,3
585,6
586,10
587,3
588,3
589,5
590,3
591,10
592,4
593,5
594,7
595,3
596,6
597,3
598,4
599,4
600,5
601,10
602,7
603,6
604,6
605,9
606,4
607,4
608,5
609,3
610,5
611,4
612,2
613,0
614,5
615,10
616,3
617,9
618,3
619,9
620,7
621,3
622,4
623,10
624,7
625,3
626,3
627,2
628,3
629,6
630,3
631,0
632,2
633,2
634,2
635,3
636,9
637,1
638,8
639,3
640,10
641,0
642,3
643,2
644,1
645,3
646,6
647,2
648,6
649,3
650,7
651,10
652,8
653,6
654,0
655,5
656,5
657,8
658,2
659,3
660,1
661,6
662,3
663,4
664,9
665,1
666,6
667,2
668,7
669,4
670,7
671,9
672,3
673,6
674,2
675,5
676,3
677,1
678,5
679,0
680,1
681,1
682,0
683,1
684,1
685,7
686,10
687,4
688,7
689,6
690,2
691,9
692,1
693,5
694,3
695,7
696,6
697,8
698,3
699,9
700,7
701,10
702,10
703,0
704,4
705,10
706,8
707,7
708,2
709,3
710,7
711,8
712,6
713,1
714,6
715,2
716,4
717,0
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,10
727,3
728,5
729,3
730,10
731,7
732,8
733,6
734,3
735,3
736,3
737,2
738,8
739,7
740,3
741,7
742,4
743,3
744,7
745,7
746,3
747,0
748,6
749,8
750,2
751,1
752,3
753,2
754,3
755,3
756,8
757,10
758,4
759,10
760,2
761,8
762,2
763,6
764,8
765,1
766,0
767,9
768,2
769,10
770,5
771,4
772,2
773,3
774,6
775,1
776,8
777,5
778,10
779,4
780,4
